Data: NaN/NaN/NaN
Hora: NaN:NaN

Tempo,RPM,Latitude,Longitude,Velocidade GPS,Velocidade Dianteira,Velocidade Traseira,Temperatura CVT
120218, 2857.0, NaN, NaN, NaN,   7.0,   0.0,   0.0
120280, 3000.0, NaN, NaN, NaN,   7.0,   0.0,   0.0
120379, 3000.0, NaN, NaN, NaN,   7.0,   0.0,   0.0
120586, 3157.0, NaN, NaN, NaN,   7.0,   0.0,   0.0
120654, 3157.0, NaN, NaN, NaN,   7.0,   0.0,   0.0
120717, 3000.0, NaN, NaN, NaN,   7.0,   0.0,   0.0
120779, 3000.0, NaN, NaN, NaN,  10.0,   0.0,   0.0
120841, 3000.0, NaN, NaN, NaN,  10.0,   0.0,   0.0
120907, 3000.0, NaN, NaN, NaN,  10.0,   0.0,   0.0
120969, 3000.0, NaN, NaN, NaN,  10.0,   0.0,   0.0
121031, 3125.0, NaN, NaN, NaN,  10.0,   0.0,   0.0
121099, 3125.0, NaN, NaN, NaN,  10.0,   0.0,   0.0
121160, 2961.0, NaN, NaN, NaN,  14.0,   0.0,   0.0
121223, 2961.0, NaN, NaN, NaN,  14.0,   0.0,   0.0
121285, 2961.0, NaN, NaN, NaN,  14.0,   0.0,   0.0
121370, 2959.0, NaN, NaN, NaN,  14.0,   0.0,   0.0
121577, 2857.0, NaN, NaN, NaN,  14.0,   0.0,   0.0
121653, 2857.0, NaN, NaN, NaN,  14.0,   0.0,   0.0
121717, 2857.0, NaN, NaN, NaN,  14.0,   0.0,   0.0
121780, 2857.0, NaN, NaN, NaN,  14.0,   0.0,   0.0
121843, 2727.0, NaN, NaN, NaN,   8.0,   0.0,   0.0
121904, 2727.0, NaN, NaN, NaN,   8.0,   0.0,   0.0
121967, 2727.0, NaN, NaN, NaN,   8.0,   0.0,   0.0
122028, 2727.0, NaN, NaN, NaN,   8.0,   0.0,   0.0
122090, 2727.0, NaN, NaN, NaN,   8.0,   0.0,   0.0
122156, 2727.0, NaN, NaN, NaN,   8.0,   0.0,   0.0
122217, 2727.0, NaN, NaN, NaN,   8.0,   0.0,   0.0
122283, 2727.0, NaN, NaN, NaN,  12.0,   0.0,   0.0
122380, 2727.0, NaN, NaN, NaN,  12.0,   0.0,   0.0
122588, 2608.0, NaN, NaN, NaN,  12.0,   0.0,   0.0
122662, 2608.0, NaN, NaN, NaN,  12.0,   0.0,   0.0
122724, 2554.0, NaN, NaN, NaN,  12.0,   0.0,   0.0
122786, 2554.0, NaN, NaN, NaN,  12.0,   0.0,   0.0
122850, 2554.0, NaN, NaN, NaN,  12.0,   0.0,   0.0
122911, 2546.0, NaN, NaN, NaN,  12.0,   0.0,   0.0
122974, 2546.0, NaN, NaN, NaN,  12.0,   0.0,   0.0
123035, 2546.0, NaN, NaN, NaN,  12.0,   0.0,   0.0
123101, 2608.0, NaN, NaN, NaN,   6.0,   0.0,   0.0
123169, 2608.0, NaN, NaN, NaN,   6.0,   0.0,   0.0
123231, 2608.0, NaN, NaN, NaN,   6.0,   0.0,   0.0
123293, 2546.0, NaN, NaN, NaN,   6.0,   0.0,   0.0
123356, 2546.0, NaN, NaN, NaN,   6.0,   0.0,   0.0
123417, 2546.0, NaN, NaN, NaN,   6.0,   0.0,   0.0
123480, 2595.0, NaN, NaN, NaN,   6.0,   0.0,   0.0
123627, 2595.0, NaN, NaN, NaN,   6.0,   0.0,   0.0
123800, 2608.0, NaN, NaN, NaN,   7.0,   0.0,   0.0
123862, 2608.0, NaN, NaN, NaN,   7.0,   0.0,   0.0
123928, 2608.0, NaN, NaN, NaN,   7.0,   0.0,   0.0
123990, 2643.0, NaN, NaN, NaN,   7.0,   0.0,   0.0
124052, 2643.0, NaN, NaN, NaN,   7.0,   0.0,   0.0
124113, 2643.0, NaN, NaN, NaN,   7.0,   0.0,   0.0
124176, 2727.0, NaN, NaN, NaN,  14.0,   0.0,   0.0
124241, 2727.0, NaN, NaN, NaN,  14.0,   0.0,   0.0
124304, 2727.0, NaN, NaN, NaN,  14.0,   0.0,   0.0
124396, 2801.0, NaN, NaN, NaN,  14.0,   0.0,   0.0
124601, 2879.0, NaN, NaN, NaN,  14.0,   0.0,   0.0
124663, 2942.0, NaN, NaN, NaN,  11.0,   0.0,   0.0
124828, 3078.0, NaN, NaN, NaN,  11.0,   0.0,   0.0
124891, 3078.0, NaN, NaN, NaN,  11.0,   0.0,   0.0
124952, 3067.0, NaN, NaN, NaN,  11.0,   0.0,   0.0
125105, 3157.0, NaN, NaN, NaN,  11.0,   0.0,   0.0
125166, 3157.0, NaN, NaN, NaN,  11.0,   0.0,   0.0
125229, 3157.0, NaN, NaN, NaN,  11.0,   0.0,   0.0
125290, 3000.0, NaN, NaN, NaN,  11.0,   0.0,   0.0
125384, 3000.0, NaN, NaN, NaN,   8.0,   0.0,   0.0
125590, 2868.0, NaN, NaN, NaN,   8.0,   0.0,   0.0
125663, 2868.0, NaN, NaN, NaN,   8.0,   0.0,   0.0
125727, 2659.0, NaN, NaN, NaN,   8.0,   0.0,   0.0
125790, 2659.0, NaN, NaN, NaN,   8.0,   0.0,   0.0
125853, 2659.0, NaN, NaN, NaN,   8.0,   0.0,   0.0
125914, 2727.0, NaN, NaN, NaN,   8.0,   0.0,   0.0
125977, 2727.0, NaN, NaN, NaN,   8.0,   0.0,   0.0
126039, 2727.0, NaN, NaN, NaN,   8.0,   0.0,   0.0
126101, 2727.0, NaN, NaN, NaN,   8.0,   0.0,   0.0
126162, 2727.0, NaN, NaN, NaN,   8.0,   0.0,   0.0
126225, 2727.0, NaN, NaN, NaN,   8.0,   0.0,   0.0
126287, 2727.0, NaN, NaN, NaN,   8.0,   0.0,   0.0
126373, 2727.0, NaN, NaN, NaN,   5.0,   0.0,   0.0
126583, 2608.0, NaN, NaN, NaN,   5.0,   0.0,   0.0
126662, 2727.0, NaN, NaN, NaN,   5.0,   0.0,   0.0
126723, 2727.0, NaN, NaN, NaN,   5.0,   0.0,   0.0
126785, 2727.0, NaN, NaN, NaN,   5.0,   0.0,   0.0
126846, 2608.0, NaN, NaN, NaN,   5.0,   0.0,   0.0
126909, 2608.0, NaN, NaN, NaN,   5.0,   0.0,   0.0
126970, 2608.0, NaN, NaN, NaN,   5.0,   0.0,   0.0
127033, 2608.0, NaN, NaN, NaN,   5.0,   0.0,   0.0
127097, 2608.0, NaN, NaN, NaN,   5.0,   0.0,   0.0
127161, 2521.0, NaN, NaN, NaN,   5.0,   0.0,   0.0
127222, 2521.0, NaN, NaN, NaN,   5.0,   0.0,   0.0
127285, 2521.0, NaN, NaN, NaN,   5.0,   0.0,   0.0
127366, 2521.0, NaN, NaN, NaN,   5.0,   0.0,   0.0
127557, 2608.0, NaN, NaN, NaN,   5.0,   0.0,   0.0
127663, 2592.0, NaN, NaN, NaN,   5.0,   0.0,   0.0
127724, 2500.0, NaN, NaN, NaN,   5.0,   0.0,   0.0
127787, 2500.0, NaN, NaN, NaN,   5.0,   0.0,   0.0
127849, 2500.0, NaN, NaN, NaN,   3.0,   0.0,   0.0
127913, 2400.0, NaN, NaN, NaN,   3.0,   0.0,   0.0
127977, 2400.0, NaN, NaN, NaN,   3.0,   0.0,   0.0
128038, 2400.0, NaN, NaN, NaN,   3.0,   0.0,   0.0
128101, 2500.0, NaN, NaN, NaN,   3.0,   0.0,   0.0
