Data: 26/02/2023
Hora: 20:10

Tempo,RPM,Latitude,Longitude,Velocidade GPS,Velocidade Dianteira,Velocidade Traseira,Temperatura CVT
43790,   0.0, -22.978481, -43.233784,   0.0,   0.0,   0.0,   0.0
43853,   0.0, -22.978481, -43.233784,   0.0,   0.0,   0.0,   0.0
43916,   0.0, -22.978481, -43.233784,   0.0,   0.0,   0.0,   0.0
43977,   0.0, -22.978481, -43.233784,   0.0,   0.0,   0.0,   0.0
44039,   0.0, -22.978481, -43.233784,   0.0,   0.0,   0.0,   0.0
44140,   0.0, -22.978481, -43.233784,   0.0,   0.0,   0.0,   0.0
44361,   0.0, -22.978453, -43.233791,   1.0,   0.0,   0.0,   0.0
44537,   0.0, -22.978453, -43.233791,   1.0,   0.0,   0.0,   0.0
44600,   0.0, -22.978453, -43.233791,   1.0,   0.0,   0.0,   0.0
44662,   0.0, -22.978453, -43.233791,   1.0,   0.0,   0.0,   0.0
44725,   0.0, -22.978453, -43.233791,   1.0,   0.0,   0.0,   0.0
44793,   0.0, -22.978453, -43.233791,   1.0,   0.0,   0.0,   0.0
44857,   0.0, -22.978453, -43.233791,   1.0,   0.0,   0.0,   0.0
44919,   0.0, -22.978453, -43.233791,   1.0,   0.0,   0.0,   0.0
44984,   0.0, -22.978453, -43.233791,   1.0,   0.0,   0.0,   0.0
45047,   0.0, -22.978453, -43.233791,   1.0,   0.0,   0.0,   0.0
45189,   0.0, -22.978451, -43.233788,   1.0,   0.0,   0.0,   0.0
45400,   0.0, -22.978451, -43.233788,   1.0,   0.0,   0.0,   0.0
45575,   0.0, -22.978451, -43.233788,   1.0,   0.0,   0.0,   0.0
45637,   0.0, -22.978451, -43.233788,   1.0,   0.0,   0.0,   0.0
45699,   0.0, -22.978451, -43.233788,   1.0,   0.0,   0.0,   0.0
45761,   0.0, -22.978451, -43.233788,   1.0,   0.0,   0.0,   0.0
45826,   0.0, -22.978451, -43.233788,   1.0,   0.0,   0.0,   0.0
45888,   0.0, -22.978451, -43.233788,   1.0,   0.0,   0.0,   0.0
45953,   0.0, -22.978451, -43.233788,   1.0,   0.0,   0.0,   0.0
46015,   0.0, -22.978451, -43.233788,   1.0,   0.0,   0.0,   0.0
46098,   0.0, -22.978451, -43.233788,   1.0,   0.0,   0.0,   0.0
46303,   0.0, -22.978428, -43.233795,   1.0,   0.0,   0.0,   0.0
46499,   0.0, -22.978428, -43.233795,   1.0,   0.0,   0.0,   0.0
46578,   0.0, -22.978428, -43.233795,   1.0,   0.0,   0.0,   0.0
46638,   0.0, -22.978428, -43.233795,   1.0,   0.0,   0.0,   0.0
46700,   0.0, -22.978428, -43.233795,   1.0,   0.0,   0.0,   0.0
46763,   0.0, -22.978428, -43.233795,   1.0,   0.0,   0.0,   0.0
46825,   0.0, -22.978428, -43.233795,   1.0,   0.0,   0.0,   0.0
46887,   0.0, -22.978428, -43.233795,   1.0,   0.0,   0.0,   0.0
46950,   0.0, -22.978428, -43.233795,   1.0,   0.0,   0.0,   0.0
47012,   0.0, -22.978428, -43.233795,   1.0,   0.0,   0.0,   0.0
47096,   0.0, -22.978428, -43.233795,   1.0,   0.0,   0.0,   0.0
47306,   0.0, -22.978436, -43.233791,   0.0,   0.0,   0.0,   0.0
47512,   0.0, -22.978436, -43.233791,   0.0,   0.0,   0.0,   0.0
47575,   0.0, -22.978436, -43.233791,   0.0,   0.0,   0.0,   0.0
47637,   0.0, -22.978436, -43.233791,   0.0,   0.0,   0.0,   0.0
47699,   0.0, -22.978436, -43.233791,   0.0,   0.0,   0.0,   0.0
47761,   0.0, -22.978436, -43.233791,   0.0,   0.0,   0.0,   0.0
47823,   0.0, -22.978436, -43.233791,   0.0,   0.0,   0.0,   0.0
47889,   0.0, -22.978436, -43.233791,   0.0,   0.0,   0.0,   0.0
47950,   0.0, -22.978436, -43.233791,   0.0,   0.0,   0.0,   0.0
48014,   0.0, -22.978436, -43.233791,   0.0,   0.0,   0.0,   0.0
48106,   0.0, -22.978436, -43.233791,   0.0,   0.0,   0.0,   0.0
48309,   0.0, -22.978426, -43.233795,   0.0,   0.0,   0.0,   0.0
48514,   0.0, -22.978426, -43.233795,   0.0,   0.0,   0.0,   0.0
48576,   0.0, -22.978426, -43.233795,   0.0,   0.0,   0.0,   0.0
48642,   0.0, -22.978426, -43.233795,   0.0,   0.0,   0.0,   0.0
48706,   0.0, -22.978426, -43.233795,   0.0,   0.0,   0.0,   0.0
48769,   0.0, -22.978426, -43.233795,   0.0,   0.0,   0.0,   0.0
48831,   0.0, -22.978426, -43.233795,   0.0,   0.0,   0.0,   0.0
48892,   0.0, -22.978426, -43.233795,   0.0,   0.0,   0.0,   0.0
49055,   0.0, -22.978426, -43.233795,   0.0,   0.0,   0.0,   0.0
49251,   0.0, -22.978426, -43.233795,   0.0,   0.0,   0.0,   0.0
49461,   0.0, -22.978426, -43.233795,   0.0,   0.0,   0.0,   0.0
49666,   0.0, -22.978426, -43.233795,   0.0,   0.0,   0.0,   0.0
49730,   0.0, -22.978426, -43.233795,   0.0,   0.0,   0.0,   0.0
49793,   0.0, -22.978426, -43.233795,   0.0,   0.0,   0.0,   0.0
49855,   0.0, -22.978426, -43.233795,   0.0,   0.0,   0.0,   0.0
49923,   0.0, -22.978426, -43.233795,   0.0,   0.0,   0.0,   0.0
49984,   0.0, -22.978426, -43.233795,   0.0,   0.0,   0.0,   0.0
50046,   0.0, -22.978426, -43.233795,   0.0,   0.0,   0.0,   0.0
50159,   0.0, -22.978443, -43.233784,   0.0,   0.0,   0.0,   0.0
50391,   0.0, -22.978443, -43.233784,   0.0,   0.0,   0.0,   0.0
50566,   0.0, -22.978443, -43.233784,   0.0,   0.0,   0.0,   0.0
50628,   0.0, -22.978443, -43.233784,   0.0,   0.0,   0.0,   0.0
50689,   0.0, -22.978443, -43.233784,   0.0,   0.0,   0.0,   0.0
50751,   0.0, -22.978443, -43.233784,   0.0,   0.0,   0.0,   0.0
50813,   0.0, -22.978443, -43.233784,   0.0,   0.0,   0.0,   0.0
50876,   0.0, -22.978443, -43.233784,   0.0,   0.0,   0.0,   0.0
50937,   0.0, -22.978443, -43.233784,   0.0,   0.0,   0.0,   0.0
51003,   0.0, -22.978443, -43.233784,   0.0,   0.0,   0.0,   0.0
51088,   0.0, -22.978443, -43.233784,   0.0,   0.0,   0.0,   0.0
51292,   0.0, -22.978443, -43.233784,   0.0,   0.0,   0.0,   0.0
51486,   0.0, -22.978443, -43.233784,   0.0,   0.0,   0.0,   0.0
51575,   0.0, -22.978443, -43.233784,   0.0,   0.0,   0.0,   0.0
51638,   0.0, -22.978443, -43.233784,   0.0,   0.0,   0.0,   0.0
51701,   0.0, -22.978443, -43.233784,   0.0,   0.0,   0.0,   0.0
51764,   0.0, -22.978443, -43.233784,   0.0,   0.0,   0.0,   0.0
51828,   0.0, -22.978443, -43.233784,   0.0,   0.0,   0.0,   0.0
51891,   0.0, -22.978443, -43.233784,   0.0,   0.0,   0.0,   0.0
51953,   0.0, -22.978443, -43.233784,   0.0,   0.0,   0.0,   0.0
52016,   0.0, -22.978443, -43.233784,   0.0,   0.0,   0.0,   0.0
52093,   0.0, -22.978443, -43.233784,   0.0,   0.0,   0.0,   0.0
52296,   0.0, -22.978462, -43.233768,   0.0,   0.0,   0.0,   0.0
52490,   0.0, -22.978462, -43.233768,   0.0,   0.0,   0.0,   0.0
52576,   0.0, -22.978462, -43.233768,   0.0,   0.0,   0.0,   0.0
52640,   0.0, -22.978462, -43.233768,   0.0,   0.0,   0.0,   0.0
52703,   0.0, -22.978462, -43.233768,   0.0,   0.0,   0.0,   0.0
52766,   0.0, -22.978462, -43.233768,   0.0,   0.0,   0.0,   0.0
52829,   0.0, -22.978462, -43.233768,   0.0,   0.0,   0.0,   0.0
52890,   0.0, -22.978462, -43.233768,   0.0,   0.0,   0.0,   0.0
52952,   0.0, -22.978462, -43.233768,   0.0,   0.0,   0.0,   0.0
53014,   0.0, -22.978462, -43.233768,   0.0,   0.0,   0.0,   0.0
53113,   0.0, -22.978462, -43.233768,   0.0,   0.0,   0.0,   0.0
53314,   0.0, -22.978468, -43.233765,   0.0,   0.0,   0.0,   0.0
53507,   0.0, -22.978468, -43.233765,   0.0,   0.0,   0.0,   0.0
53570,   0.0, -22.978468, -43.233765,   0.0,   0.0,   0.0,   0.0
53633,   0.0, -22.978468, -43.233765,   0.0,   0.0,   0.0,   0.0
53694,   0.0, -22.978468, -43.233765,   0.0,   0.0,   0.0,   0.0
53761,   0.0, -22.978468, -43.233765,   0.0,   0.0,   0.0,   0.0
53823,   0.0, -22.978468, -43.233765,   0.0,   0.0,   0.0,   0.0
53888,   0.0, -22.978468, -43.233765,   0.0,   0.0,   0.0,   0.0
53951,   0.0, -22.978468, -43.233765,   0.0,   0.0,   0.0,   0.0
54013,   0.0, -22.978468, -43.233765,   0.0,   0.0,   0.0,   0.0
54099,   0.0, -22.978468, -43.233765,   0.0,   0.0,   0.0,   0.0
54303,   0.0, -22.978472, -43.233757,   0.0,   0.0,   0.0,   0.0
54512,   0.0, -22.978472, -43.233757,   0.0,   0.0,   0.0,   0.0
54676,   0.0, -22.978472, -43.233757,   0.0,   0.0,   0.0,   0.0
54738,   0.0, -22.978472, -43.233757,   0.0,   0.0,   0.0,   0.0
54804,   0.0, -22.978472, -43.233757,   0.0,   0.0,   0.0,   0.0
54865,   0.0, -22.978472, -43.233757,   0.0,   0.0,   0.0,   0.0
54933,   0.0, -22.978472, -43.233757,   0.0,   0.0,   0.0,   0.0
54996,   0.0, -22.978472, -43.233757,   0.0,   0.0,   0.0,   0.0
55083,   0.0, -22.978472, -43.233757,   0.0,   0.0,   0.0,   0.0
55285,   0.0, -22.978472, -43.233757,   0.0,   0.0,   0.0,   0.0
55494,   0.0, -22.978472, -43.233757,   0.0,   0.0,   0.0,   0.0
55575,   0.0, -22.978472, -43.233757,   0.0,   0.0,   0.0,   0.0
55730,   0.0, -22.978472, -43.233757,   0.0,   0.0,   0.0,   0.0
55792,   0.0, -22.978472, -43.233757,   0.0,   0.0,   0.0,   0.0
55853,   0.0, -22.978472, -43.233757,   0.0,   0.0,   0.0,   0.0
55915,   0.0, -22.978472, -43.233757,   0.0,   0.0,   0.0,   0.0
55979,   0.0, -22.978472, -43.233757,   0.0,   0.0,   0.0,   0.0
56041,   0.0, -22.978472, -43.233757,   0.0,   0.0,   0.0,   0.0
56152,   0.0, -22.978472, -43.233757,   0.0,   0.0,   0.0,   0.0
56381,   0.0, -22.978476, -43.233749,   0.0,   0.0,   0.0,   0.0
56556,   0.0, -22.978476, -43.233749,   0.0,   0.0,   0.0,   0.0
56619,   0.0, -22.978476, -43.233749,   0.0,   0.0,   0.0,   0.0
56681,   0.0, -22.978476, -43.233749,   0.0,   0.0,   0.0,   0.0
56742,   0.0, -22.978476, -43.233749,   0.0,   0.0,   0.0,   0.0
56805,   0.0, -22.978476, -43.233749,   0.0,   0.0,   0.0,   0.0
56867,   0.0, -22.978476, -43.233749,   0.0,   0.0,   0.0,   0.0
56930,   0.0, -22.978476, -43.233749,   0.0,   0.0,   0.0,   0.0
56994,   0.0, -22.978476, -43.233749,   0.0,   0.0,   0.0,   0.0
57083,   0.0, -22.978476, -43.233749,   0.0,   0.0,   0.0,   0.0
57287,   0.0, -22.978476, -43.233749,   0.0,   0.0,   0.0,   0.0
57497,   0.0, -22.978476, -43.233749,   0.0,   0.0,   0.0,   0.0
57576,   0.0, -22.978476, -43.233749,   0.0,   0.0,   0.0,   0.0
57637,   0.0, -22.978476, -43.233749,   0.0,   0.0,   0.0,   0.0
57705,   0.0, -22.978476, -43.233749,   0.0,   0.0,   0.0,   0.0
57767,   0.0, -22.978476, -43.233749,   0.0,   0.0,   0.0,   0.0
57834,   0.0, -22.978476, -43.233749,   0.0,   0.0,   0.0,   0.0
57896,   0.0, -22.978476, -43.233749,   0.0,   0.0,   0.0,   0.0
57959,   0.0, -22.978476, -43.233749,   0.0,   0.0,   0.0,   0.0
58020,   0.0, -22.978476, -43.233749,   0.0,   0.0,   0.0,   0.0
58121,   0.0, -22.978476, -43.233749,   0.0,   0.0,   0.0,   0.0
58315,   0.0, -22.978476, -43.233746,   0.0,   0.0,   0.0,   0.0
58512,   0.0, -22.978476, -43.233746,   0.0,   0.0,   0.0,   0.0
58573,   0.0, -22.978476, -43.233746,   0.0,   0.0,   0.0,   0.0
58639,   0.0, -22.978476, -43.233746,   0.0,   0.0,   0.0,   0.0
58700,   0.0, -22.978476, -43.233746,   0.0,   0.0,   0.0,   0.0
58763,   0.0, -22.978476, -43.233746,   0.0,   0.0,   0.0,   0.0
58830,   0.0, -22.978476, -43.233746,   0.0,   0.0,   0.0,   0.0
58893,   0.0, -22.978476, -43.233746,   0.0,   0.0,   0.0,   0.0
58955,   0.0, -22.978476, -43.233746,   0.0,   0.0,   0.0,   0.0
59017,   0.0, -22.978476, -43.233746,   0.0,   0.0,   0.0,   0.0
59113,   0.0, -22.978476, -43.233746,   0.0,   0.0,   0.0,   0.0
59315,   0.0, -22.978474, -43.233746,   0.0,   0.0,   0.0,   0.0
59515,   0.0, -22.978474, -43.233746,   0.0,   0.0,   0.0,   0.0
59577,   0.0, -22.978474, -43.233746,   0.0,   0.0,   0.0,   0.0
59639,   0.0, -22.978474, -43.233746,   0.0,   0.0,   0.0,   0.0
59702,   0.0, -22.978474, -43.233746,   0.0,   0.0,   0.0,   0.0
59764,   0.0, -22.978474, -43.233746,   0.0,   0.0,   0.0,   0.0
59825,   0.0, -22.978474, -43.233746,   0.0,   0.0,   0.0,   0.0
59991,   0.0, -22.978474, -43.233746,   0.0,   0.0,   0.0,   0.0
60086,   0.0, -22.978474, -43.233746,   0.0,   0.0,   0.0,   0.0
60290,   0.0, -22.978474, -43.233746,   0.0,   0.0,   0.0,   0.0
60500,   0.0, -22.978474, -43.233746,   0.0,   0.0,   0.0,   0.0
60571,   0.0, -22.978474, -43.233746,   0.0,   0.0,   0.0,   0.0
60634,   0.0, -22.978474, -43.233746,   0.0,   0.0,   0.0,   0.0
60695,   0.0, -22.978474, -43.233746,   0.0,   0.0,   0.0,   0.0
60758,   0.0, -22.978474, -43.233746,   0.0,   0.0,   0.0,   0.0
60823,   0.0, -22.978474, -43.233746,   0.0,   0.0,   0.0,   0.0
60886,   0.0, -22.978474, -43.233746,   0.0,   0.0,   0.0,   0.0
60947,   0.0, -22.978474, -43.233746,   0.0,   0.0,   0.0,   0.0
61009,   0.0, -22.978474, -43.233746,   0.0,   0.0,   0.0,   0.0
61111,   0.0, -22.978474, -43.233746,   0.0,   0.0,   0.0,   0.0
61314,   0.0, -22.978479, -43.233734,   0.0,   0.0,   0.0,   0.0
61507,   0.0, -22.978479, -43.233734,   0.0,   0.0,   0.0,   0.0
61572,   0.0, -22.978479, -43.233734,   0.0,   0.0,   0.0,   0.0
61637,   0.0, -22.978479, -43.233734,   0.0,   0.0,   0.0,   0.0
61790,   0.0, -22.978479, -43.233734,   0.0,   0.0,   0.0,   0.0
61852,   0.0, -22.978479, -43.233734,   0.0,   0.0,   0.0,   0.0
61913,   0.0, -22.978479, -43.233734,   0.0,   0.0,   0.0,   0.0
61975,   0.0, -22.978479, -43.233734,   0.0,   0.0,   0.0,   0.0
62036,   0.0, -22.978479, -43.233734,   0.0,   0.0,   0.0,   0.0
62137,   0.0, -22.978479, -43.233734,   0.0,   0.0,   0.0,   0.0
