Data: NaN/NaN/NaN
Hora: NaN:NaN

Tempo,RPM,Latitude,Longitude,Velocidade GPS,Velocidade Dianteira,Velocidade Traseira,Temperatura CVT
120257, 2930.0, NaN, NaN, NaN,  18.0,  22.0,   0.0
120320, 2930.0, NaN, NaN, NaN,  18.0,  22.0,   0.0
120381, 2930.0, NaN, NaN, NaN,  18.0,  22.0,   0.0
120443, 2930.0, NaN, NaN, NaN,  18.0,  22.0,   0.0
120507, 2044.0, NaN, NaN, NaN,  18.0,  22.0,   0.0
120568, 2044.0, NaN, NaN, NaN,  18.0,  22.0,   0.0
120665, 2044.0, NaN, NaN, NaN,  18.0,  22.0,   0.0
120859, 1612.0, NaN, NaN, NaN,  18.0,  22.0,   0.0
120940, 1612.0, NaN, NaN, NaN,  18.0,  22.0,   0.0
121001, 1612.0, NaN, NaN, NaN,  18.0,  22.0,   0.0
121064, 1612.0, NaN, NaN, NaN,  18.0,  22.0,   0.0
121133, 1478.0, NaN, NaN, NaN,  18.0,  22.0,   0.0
121194, 1478.0, NaN, NaN, NaN,  18.0,  22.0,   0.0
121256, 1478.0, NaN, NaN, NaN,  18.0,  22.0,   0.0
121319, 1478.0, NaN, NaN, NaN,  18.0,  22.0,   0.0
121382, 1478.0, NaN, NaN, NaN,  18.0,  22.0,   0.0
121444, 1413.0, NaN, NaN, NaN,  18.0,   0.0,   0.0
121506, 1413.0, NaN, NaN, NaN,  18.0,   0.0,   0.0
121571, 1413.0, NaN, NaN, NaN,  18.0,   0.0,   0.0
121663, 1413.0, NaN, NaN, NaN,  18.0,   0.0,   0.0
121876, 1370.0, NaN, NaN, NaN,  18.0,   0.0,   0.0
121938, 1370.0, NaN, NaN, NaN,  18.0,   0.0,   0.0
122000, 1370.0, NaN, NaN, NaN,  18.0,   0.0,   0.0
122063, 1370.0, NaN, NaN, NaN,  18.0,   0.0,   0.0
122125, 1395.0, NaN, NaN, NaN,  18.0,   0.0,   0.0
122190, 1395.0, NaN, NaN, NaN,  18.0,   0.0,   0.0
122253, 1395.0, NaN, NaN, NaN,  18.0,   0.0,   0.0
122317, 1395.0, NaN, NaN, NaN,  18.0,   0.0,   0.0
122382, 2257.0, NaN, NaN, NaN,  18.0,   0.0,   0.0
122445, 2257.0, NaN, NaN, NaN,  18.0,   0.0,   0.0
122507, 2257.0, NaN, NaN, NaN,  18.0,   0.0,   0.0
122569, 2471.0, NaN, NaN, NaN,  18.0,   0.0,   0.0
122654, 2471.0, NaN, NaN, NaN,   1.0,   0.0,   0.0
