Data: 05/03/2023
Hora: 15:08

Tempo,RPM,Latitude,Longitude,Velocidade GPS,Velocidade Dianteira,Velocidade Traseira,Temperatura CVT
44549,   0.0, -23.164083, -45.794895,   6.0,   9.0,   9.0,   0.0
44694,   0.0, -23.164083, -45.794895,   6.0,   6.0,   4.0,   0.0
44756,   0.0, -23.164083, -45.794895,   6.0,   6.0,   4.0,   0.0
44819,   0.0, -23.164083, -45.794895,   6.0,   6.0,   4.0,   0.0
44881,   0.0, -23.164083, -45.794895,   6.0,   6.0,   4.0,   0.0
45017,   0.0, -23.164072, -45.794907,   9.0,   6.0,   4.0,   0.0
45256,   0.0, -23.164072, -45.794907,   9.0,   6.0,   4.0,   0.0
45435,   0.0, -23.164072, -45.794907,   9.0,   6.0,   4.0,   0.0
45498,   0.0, -23.164072, -45.794907,   9.0,   6.0,   4.0,   0.0
45566,   0.0, -23.164072, -45.794907,   9.0,   6.0,   4.0,   0.0
45629,   0.0, -23.164072, -45.794907,   9.0,   6.0,   4.0,   0.0
45691,   0.0, -23.164072, -45.794907,   9.0,   6.0,   4.0,   0.0
45754,   0.0, -23.164072, -45.794907,   9.0,   6.0,   4.0,   0.0
45816,   0.0, -23.164072, -45.794907,   9.0,   6.0,   4.0,   0.0
45881,   0.0, -23.164072, -45.794907,   9.0,   6.0,   4.0,   0.0
46104,   0.0, -23.164072, -45.794907,   9.0,   6.0,   4.0,   0.0
46304,   0.0, -23.164072, -45.794907,   9.0,   7.0,   4.0,   0.0
46417,   0.0, -23.164072, -45.794907,   9.0,   7.0,   4.0,   0.0
46479,   0.0, -23.164072, -45.794907,   9.0,   7.0,   4.0,   0.0
46541,   0.0, -23.164072, -45.794907,   9.0,   7.0,   4.0,   0.0
46604,   0.0, -23.164072, -45.794907,   9.0,   7.0,   4.0,   0.0
46666,   0.0, -23.164072, -45.794907,   9.0,   7.0,   4.0,   0.0
46737,   0.0, -23.164072, -45.794907,   9.0,  11.0,   4.0,   0.0
46876,   0.0, -23.164072, -45.794907,   9.0,  11.0,  11.0,   0.0
46959,   0.0, -23.164072, -45.794907,   9.0,  11.0,  11.0,   0.0
47160,   0.0, -23.164024, -45.794941,  10.0,  11.0,  11.0,   0.0
47358,   0.0, -23.164024, -45.794941,  10.0,  11.0,  11.0,   0.0
47422,   0.0, -23.164024, -45.794941,  10.0,  11.0,  11.0,   0.0
47490,   0.0, -23.164024, -45.794941,  10.0,  11.0,  11.0,   0.0
47552,   0.0, -23.164024, -45.794941,  10.0,  11.0,  11.0,   0.0
47619,   0.0, -23.164024, -45.794941,  10.0,   6.0,  11.0,   0.0
47761,   0.0, -23.164024, -45.794941,  10.0,   6.0,   4.0,   0.0
47830,   0.0, -23.164024, -45.794941,  10.0,   6.0,   4.0,   0.0
47911,   0.0, -23.164024, -45.794941,  10.0,   6.0,   4.0,   0.0
48119,   0.0, -23.164024, -45.794941,  10.0,   6.0,   4.0,   0.0
48346,   0.0, -23.164024, -45.794941,  10.0,   6.0,   4.0,   0.0
48418,   0.0, -23.164024, -45.794941,  10.0,   6.0,   4.0,   0.0
48484,   0.0, -23.164024, -45.794941,  10.0,   6.0,   5.0,   0.0
48627,   0.0, -23.164024, -45.794941,  10.0,   5.0,   5.0,   0.0
48688,   0.0, -23.164024, -45.794941,  10.0,   5.0,   5.0,   0.0
48750,   0.0, -23.164024, -45.794941,  10.0,   5.0,   5.0,   0.0
48812,   0.0, -23.164024, -45.794941,  10.0,   5.0,   5.0,   0.0
48874,   0.0, -23.164024, -45.794941,  10.0,   5.0,   5.0,   0.0
48964,   0.0, -23.164024, -45.794941,  10.0,   5.0,  10.0,   0.0
49170,   0.0, -23.163979, -45.794968,   8.0,   5.0,  10.0,   0.0
49377,   0.0, -23.163979, -45.794968,   8.0,   5.0,  10.0,   0.0
49519,   0.0, -23.163979, -45.794968,   8.0,   5.0,  10.0,   0.0
49582,   0.0, -23.163979, -45.794968,   8.0,   5.0,  10.0,   0.0
49644,   0.0, -23.163979, -45.794968,   8.0,   5.0,  10.0,   0.0
49707,   0.0, -23.163979, -45.794968,   8.0,   5.0,  10.0,   0.0
49769,   0.0, -23.163979, -45.794968,   8.0,   5.0,   4.0,   0.0
49831,   0.0, -23.163979, -45.794968,   8.0,   4.0,   4.0,   0.0
49930,   0.0, -23.163979, -45.794968,   8.0,   4.0,   4.0,   0.0
50167,   0.0, -23.163956, -45.794975,   8.0,   4.0,   4.0,   0.0
50400,   0.0, -23.163956, -45.794975,   8.0,   4.0,   4.0,   0.0
50466,   0.0, -23.163956, -45.794975,   8.0,   4.0,   4.0,   0.0
50532,   0.0, -23.163956, -45.794975,   8.0,   4.0,   4.0,   0.0
50594,   0.0, -23.163956, -45.794975,   8.0,   4.0,   4.0,   0.0
50656,   0.0, -23.163956, -45.794975,   8.0,   4.0,   4.0,   0.0
50718,   0.0, -23.163956, -45.794975,   8.0,   4.0,   4.0,   0.0
50874,   0.0, -23.163956, -45.794975,   8.0,   4.0,   4.0,   0.0
50981,   0.0, -23.163956, -45.794975,   8.0,   5.0,   4.0,   0.0
51236,   0.0, -23.163935, -45.794979,   6.0,   5.0,   4.0,   0.0
51415,   0.0, -23.163935, -45.794979,   6.0,   5.0,   4.0,   0.0
51476,   0.0, -23.163935, -45.794979,   6.0,   5.0,   4.0,   0.0
51538,   0.0, -23.163935, -45.794979,   6.0,   5.0,   5.0,   0.0
51607,   0.0, -23.163935, -45.794979,   6.0,   5.0,   5.0,   0.0
51668,   0.0, -23.163935, -45.794979,   6.0,   5.0,   5.0,   0.0
51734,   0.0, -23.163935, -45.794979,   6.0,   5.0,   5.0,   0.0
51872,   0.0, -23.163935, -45.794979,   6.0,   6.0,   5.0,   0.0
51981,   0.0, -23.163935, -45.794979,   6.0,   6.0,   5.0,   0.0
52184,   0.0, -23.163912, -45.794975,  11.0,   6.0,   5.0,   0.0
52365,   0.0, -23.163912, -45.794975,  11.0,   6.0,   5.0,   0.0
52427,   0.0, -23.163912, -45.794975,  11.0,   6.0,   5.0,   0.0
52490,   0.0, -23.163912, -45.794975,  11.0,   6.0,   5.0,   0.0
52552,   0.0, -23.163912, -45.794975,  11.0,   6.0,   4.0,   0.0
52618,   0.0, -23.163912, -45.794975,  11.0,   6.0,   4.0,   0.0
52756,   0.0, -23.163912, -45.794975,  11.0,   6.0,   4.0,   0.0
52823,   0.0, -23.163912, -45.794975,  11.0,   6.0,   4.0,   0.0
52892,   0.0, -23.163912, -45.794975,  11.0,   6.0,   4.0,   0.0
53101,   0.0, -23.163912, -45.794975,  11.0,   6.0,   4.0,   0.0
53315,   0.0, -23.163912, -45.794975,  11.0,   6.0,   4.0,   0.0
53411,   0.0, -23.163912, -45.794975,  11.0,   6.0,   4.0,   0.0
53474,   0.0, -23.163912, -45.794975,  11.0,   3.0,   4.0,   0.0
53542,   0.0, -23.163912, -45.794975,  11.0,   3.0,   4.0,   0.0
53681,   0.0, -23.163912, -45.794975,  11.0,   3.0,   3.0,   0.0
