Data: NaN/NaN/NaN
Hora: NaN:NaN

Tempo,RPM,Latitude,Longitude,Velocidade GPS,Velocidade Dianteira,Velocidade Traseira,Temperatura CVT
120226, 2307.0, NaN, NaN, NaN,  10.0,   0.0,   0.0
120288, 2222.0, NaN, NaN, NaN,  10.0,   0.0,   0.0
120349, 2222.0, NaN, NaN, NaN,  10.0,   0.0,   0.0
120412, 2222.0, NaN, NaN, NaN,  10.0,   0.0,   0.0
120473, 2168.0, NaN, NaN, NaN,   5.0,   0.0,   0.0
120573, 2168.0, NaN, NaN, NaN,   5.0,   0.0,   0.0
120780, 2133.0, NaN, NaN, NaN,   5.0,   0.0,   0.0
120866, 2133.0, NaN, NaN, NaN,   5.0,   0.0,   0.0
120931, 2068.0, NaN, NaN, NaN,   5.0,   0.0,   0.0
120993, 2068.0, NaN, NaN, NaN,   5.0,   0.0,   0.0
121057, 2068.0, NaN, NaN, NaN,   5.0,   0.0,   0.0
121124, 2068.0, NaN, NaN, NaN,   5.0,   0.0,   0.0
121188, 2000.0, NaN, NaN, NaN,   5.0,   0.0,   0.0
121249, 2000.0, NaN, NaN, NaN,   5.0,   0.0,   0.0
121312, 2000.0, NaN, NaN, NaN,   5.0,   0.0,   0.0
121404, 2000.0, NaN, NaN, NaN,   5.0,   0.0,   0.0
121602, 1875.0, NaN, NaN, NaN,   5.0,   0.0,   0.0
121713, 1726.0, NaN, NaN, NaN,   5.0,   0.0,   0.0
121777, 1726.0, NaN, NaN, NaN,   5.0,   0.0,   0.0
121839, 1726.0, NaN, NaN, NaN,   5.0,   0.0,   0.0
121900, 1726.0, NaN, NaN, NaN,   4.0,   0.0,   0.0
121963, 1666.0, NaN, NaN, NaN,   4.0,   0.0,   0.0
122024, 1666.0, NaN, NaN, NaN,   4.0,   0.0,   0.0
122087, 1666.0, NaN, NaN, NaN,   4.0,   0.0,   0.0
122149, 1666.0, NaN, NaN, NaN,   4.0,   0.0,   0.0
122215, 1666.0, NaN, NaN, NaN,   4.0,   0.0,   0.0
122278, 1588.0, NaN, NaN, NaN,   4.0,   0.0,   0.0
122343, 1588.0, NaN, NaN, NaN,   4.0,   0.0,   0.0
122425, 1588.0, NaN, NaN, NaN,   4.0,   0.0,   0.0
122619, 2072.0, NaN, NaN, NaN,   4.0,   0.0,   0.0
122714, 2353.0, NaN, NaN, NaN,   4.0,   0.0,   0.0
122775, 2353.0, NaN, NaN, NaN,   4.0,   0.0,   0.0
122838, 2353.0, NaN, NaN, NaN,   4.0,   0.0,   0.0
122899, 2307.0, NaN, NaN, NaN,   4.0,   0.0,   0.0
122961, 2307.0, NaN, NaN, NaN,   4.0,   0.0,   0.0
123023, 2307.0, NaN, NaN, NaN,   4.0,   0.0,   0.0
123085, 2236.0, NaN, NaN, NaN,   4.0,   0.0,   0.0
123151, 2236.0, NaN, NaN, NaN,   4.0,   0.0,   0.0
123218, 2236.0, NaN, NaN, NaN,   4.0,   0.0,   0.0
123281, 2236.0, NaN, NaN, NaN,   4.0,   0.0,   0.0
123342, 2142.0, NaN, NaN, NaN,   4.0,   0.0,   0.0
