Data: 04/08/2023
Hora: 01:08

Tempo,RPM,Latitude,Longitude,Velocidade GPS,Velocidade Dianteira,Velocidade Traseira,Temperatura CVT
5207, 0.0, -22.9782490000, -43.2332690000, 25.0, 0.0, 0.0, 51.0
5353, 0.0, -22.9782490000, -43.2332690000, 25.0, 0.0, 0.0, 51.0
5414, 0.0, -22.9782490000, -43.2332690000, 25.0, 0.0, 0.0, 51.0
5476, 0.0, -22.9782490000, -43.2332690000, 25.0, 0.0, 0.0, 51.0
5537, 0.0, -22.9782490000, -43.2332690000, 25.0, 0.0, 0.0, 51.0
5601, 0.0, -22.9782490000, -43.2332690000, 25.0, 0.0, 0.0, 51.0
5689, 0.0, -22.9782490000, -43.2332690000, 25.0, 0.0, 0.0, 51.0
5950, 0.0, -22.9782470000, -43.2332500000, 6.0, 0.0, 0.0, 51.0
6146, 0.0, -22.9782470000, -43.2332500000, 6.0, 0.0, 0.0, 51.0
6211, 0.0, -22.9782470000, -43.2332500000, 6.0, 0.0, 0.0, 51.0
6273, 0.0, -22.9782470000, -43.2332500000, 6.0, 0.0, 0.0, 51.0
6334, 0.0, -22.9782470000, -43.2332500000, 6.0, 0.0, 0.0, 51.0
6396, 0.0, -22.9782470000, -43.2332500000, 6.0, 0.0, 0.0, 51.0
6458, 0.0, -22.9782470000, -43.2332500000, 6.0, 0.0, 0.0, 51.0
6523, 0.0, -22.9782470000, -43.2332500000, 6.0, 0.0, 0.0, 51.0
6695, 0.0, -22.9782470000, -43.2332500000, 6.0, 0.0, 0.0, 51.0
6894, 0.0, -22.9782280000, -43.2332080000, 8.0, 0.0, 0.0, 51.0
7087, 0.0, -22.9782280000, -43.2332080000, 8.0, 0.0, 0.0, 51.0
7220, 0.0, -22.9782280000, -43.2332080000, 8.0, 0.0, 0.0, 51.0
7281, 0.0, -22.9782280000, -43.2332080000, 8.0, 0.0, 0.0, 51.0
7342, 0.0, -22.9782280000, -43.2332080000, 8.0, 0.0, 0.0, 51.0
7403, 0.0, -22.9782280000, -43.2332080000, 8.0, 0.0, 0.0, 51.0
7472, 0.0, -22.9782280000, -43.2332080000, 8.0, 0.0, 0.0, 51.0
7612, 0.0, -22.9782280000, -43.2332080000, 8.0, 0.0, 0.0, 51.0
7703, 0.0, -22.9782280000, -43.2332080000, 8.0, 0.0, 0.0, 51.0
7902, 0.0, -22.9781820000, -43.2331580000, 16.0, 0.0, 0.0, 51.0
8115, 0.0, -22.9781820000, -43.2331580000, 16.0, 0.0, 0.0, 51.0
8232, 0.0, -22.9781820000, -43.2331580000, 16.0, 0.0, 0.0, 51.0
8299, 0.0, -22.9781820000, -43.2331580000, 16.0, 0.0, 0.0, 51.0
8360, 0.0, -22.9781820000, -43.2331580000, 16.0, 0.0, 0.0, 51.0
8432, 0.0, -22.9781820000, -43.2331580000, 16.0, 0.0, 0.0, 51.0
8582, 0.0, -22.9781820000, -43.2331580000, 16.0, 0.0, 0.0, 51.0
8668, 0.0, -22.9781820000, -43.2331580000, 16.0, 0.0, 0.0, 51.0
8867, 0.0, -22.9781820000, -43.2331580000, 16.0, 0.0, 0.0, 51.0
9071, 0.0, -22.9781820000, -43.2331580000, 16.0, 0.0, 0.0, 51.0
9223, 0.0, -22.9781820000, -43.2331580000, 16.0, 0.0, 0.0, 52.0
9284, 736.0, -22.9781820000, -43.2331580000, 16.0, 0.0, 0.0, 52.0
9346, 736.0, -22.9781820000, -43.2331580000, 16.0, 0.0, 0.0, 52.0
9412, 736.0, -22.9781820000, -43.2331580000, 16.0, 0.0, 0.0, 52.0
9556, 736.0, -22.9781820000, -43.2331580000, 16.0, 0.0, 0.0, 52.0
9618, 736.0, -22.9781820000, -43.2331580000, 16.0, 0.0, 0.0, 52.0
9736, 1252.0, -22.9781820000, -43.2331580000, 16.0, 0.0, 0.0, 52.0
9947, 1252.0, -22.9781720000, -43.2330170000, 21.0, 0.0, 0.0, 52.0
10161, 1600.0, -22.9781720000, -43.2330170000, 21.0, 0.0, 0.0, 52.0
10226, 1800.0, -22.9781720000, -43.2330170000, 21.0, 0.0, 0.0, 51.0
10289, 1800.0, -22.9781720000, -43.2330170000, 21.0, 0.0, 0.0, 51.0
10353, 1800.0, -22.9781720000, -43.2330170000, 21.0, 0.0, 0.0, 51.0
10496, 1935.0, -22.9781720000, -43.2330170000, 21.0, 0.0, 0.0, 51.0
10557, 1935.0, -22.9781720000, -43.2330170000, 21.0, 0.0, 0.0, 51.0
10618, 1935.0, -22.9781720000, -43.2330170000, 21.0, 0.0, 0.0, 51.0
10715, 1935.0, -22.9781720000, -43.2330170000, 21.0, 0.0, 0.0, 51.0
10913, 2000.0, -22.9782200000, -43.2329830000, 22.0, 0.0, 0.0, 52.0
11121, 2000.0, -22.9782200000, -43.2329830000, 22.0, 0.0, 0.0, 52.0
11222, 1962.0, -22.9782200000, -43.2329830000, 22.0, 0.0, 0.0, 52.0
