Data: 28/02/2023
Hora: 02:29

Tempo,RPM,Latitude,Longitude,Velocidade GPS,Velocidade Dianteira,Velocidade Traseira,Temperatura CVT
4997, 1591.0, -22.978640, -43.233505,   4.0,   0.0,   0.0,   0.0
5059, 1591.0, -22.978640, -43.233505,   4.0,   0.0,   0.0,   0.0
5121, 1591.0, -22.978640, -43.233505,   4.0,   0.0,   0.0,   0.0
5183, 1591.0, -22.978640, -43.233505,   4.0,   0.0,   0.0,   0.0
5245, 1955.0, -22.978640, -43.233505,   4.0,   0.0,   0.0,   0.0
5308, 1955.0, -22.978640, -43.233505,   4.0,   0.0,   0.0,   0.0
5373, 1955.0, -22.978640, -43.233505,   4.0,   0.0,   0.0,   0.0
5436, 1955.0, -22.978640, -43.233505,   4.0,   0.0,   0.0,   0.0
5588, 1819.0, -22.978640, -43.233505,   4.0,   0.0,   0.0,   0.0
5793, 1819.0, -22.978640, -43.233505,   4.0,   0.0,   0.0,   0.0
5904, 1579.0, -22.978640, -43.233505,   4.0,   0.0,   0.0,   0.0
5971, 1579.0, -22.978640, -43.233505,   4.0,   0.0,   0.0,   0.0
6035, 1579.0, -22.978640, -43.233505,   4.0,   0.0,   0.0,   0.0
6097, 1445.0, -22.978640, -43.233505,   4.0,   0.0,   0.0,   0.0
6163, 1445.0, -22.978640, -43.233505,   4.0,   0.0,   0.0,   0.0
6225, 1445.0, -22.978640, -43.233505,   4.0,   0.0,   0.0,   0.0
6288, 1445.0, -22.978640, -43.233505,   4.0,   0.0,   0.0,   0.0
6350, 1445.0, -22.978640, -43.233505,   4.0,   0.0,   0.0,   0.0
6413, 1445.0, -22.978640, -43.233505,   4.0,   0.0,   0.0,   0.0
6495, 1373.0, -22.978640, -43.233505,   4.0,   0.0,   0.0,   0.0
6707, 1373.0, -22.978708, -43.233578,   3.0,   0.0,   0.0,   0.0
6884, 1328.0, -22.978708, -43.233578,   3.0,   0.0,   0.0,   0.0
6949, 1328.0, -22.978708, -43.233578,   3.0,   0.0,   0.0,   0.0
7012, 1328.0, -22.978708, -43.233578,   3.0,   0.0,   0.0,   0.0
7078, 1328.0, -22.978708, -43.233578,   3.0,   0.0,   0.0,   0.0
7140, 1305.0, -22.978708, -43.233578,   3.0,   0.0,   0.0,   0.0
7202, 1305.0, -22.978708, -43.233578,   3.0,   0.0,   0.0,   0.0
7265, 1305.0, -22.978708, -43.233578,   3.0,   0.0,   0.0,   0.0
7329, 1305.0, -22.978708, -43.233578,   3.0,   0.0,   0.0,   0.0
7392, 1305.0, -22.978708, -43.233578,   3.0,   0.0,   0.0,   0.0
7480, 1320.0, -22.978708, -43.233578,   3.0,   0.0,   0.0,   0.0
7686, 1320.0, -22.978708, -43.233578,   3.0,   0.0,   0.0,   0.0
7863, 1281.0, -22.978708, -43.233578,   3.0,   0.0,   0.0,   0.0
7925, 1281.0, -22.978708, -43.233578,   3.0,   0.0,   0.0,   0.0
7988, 1281.0, -22.978708, -43.233578,   3.0,   0.0,   0.0,   0.0
8050, 1281.0, -22.978708, -43.233578,   3.0,   0.0,   0.0,   0.0
8112, 1281.0, -22.978708, -43.233578,   3.0,   0.0,   0.0,   0.0
8177, 1239.0, -22.978708, -43.233578,   3.0,   0.0,   0.0,   0.0
8245, 1239.0, -22.978708, -43.233578,   3.0,   0.0,   0.0,   0.0
8307, 1239.0, -22.978708, -43.233578,   3.0,   0.0,   0.0,   0.0
8370, 1239.0, -22.978708, -43.233578,   3.0,   0.0,   0.0,   0.0
8432, 1239.0, -22.978708, -43.233578,   3.0,   0.0,   0.0,   0.0
8543, 1239.0, -22.978708, -43.233578,   3.0,   0.0,   0.0,   0.0
8739, 1237.0, -22.978727, -43.233582,   4.0,   0.0,   0.0,   0.0
8902, 1237.0, -22.978727, -43.233582,   4.0,   0.0,   0.0,   0.0
8966, 1188.0, -22.978727, -43.233582,   4.0,   0.0,   0.0,   0.0
9028, 1188.0, -22.978727, -43.233582,   4.0,   0.0,   0.0,   0.0
9090, 1188.0, -22.978727, -43.233582,   4.0,   0.0,   0.0,   0.0
9152, 1188.0, -22.978727, -43.233582,   4.0,   0.0,   0.0,   0.0
9214, 1188.0, -22.978727, -43.233582,   4.0,   0.0,   0.0,   0.0
9277, 1188.0, -22.978727, -43.233582,   4.0,   0.0,   0.0,   0.0
9340, 1188.0, -22.978727, -43.233582,   4.0,   0.0,   0.0,   0.0
9407, 1154.0, -22.978727, -43.233582,   4.0,   0.0,   0.0,   0.0
9504, 1154.0, -22.978727, -43.233582,   4.0,   0.0,   0.0,   0.0
9708, 1154.0, -22.978724, -43.233582,   4.0,   0.0,   0.0,   0.0
9885, 1115.0, -22.978724, -43.233582,   4.0,   0.0,   0.0,   0.0
9948, 1115.0, -22.978724, -43.233582,   4.0,   0.0,   0.0,   0.0
10110, 1115.0, -22.978724, -43.233582,   4.0,   0.0,   0.0,   0.0
10173, 1115.0, -22.978724, -43.233582,   4.0,   0.0,   0.0,   0.0
10235, 1115.0, -22.978724, -43.233582,   4.0,   0.0,   0.0,   0.0
10392, 1090.0, -22.978724, -43.233582,   4.0,   0.0,   0.0,   0.0
10484, 1090.0, -22.978724, -43.233582,   4.0,   0.0,   0.0,   0.0
10692, 1090.0, -22.978716, -43.233578,   4.0,   0.0,   0.0,   0.0
10869, 1204.0, -22.978716, -43.233578,   4.0,   0.0,   0.0,   0.0
10937, 1204.0, -22.978716, -43.233578,   4.0,   0.0,   0.0,   0.0
10999, 1204.0, -22.978716, -43.233578,   4.0,   0.0,   0.0,   0.0
11062, 1224.0, -22.978716, -43.233578,   4.0,   0.0,   0.0,   0.0
11125, 1224.0, -22.978716, -43.233578,   4.0,   0.0,   0.0,   0.0
