Data: NaN/NaN/NaN
Hora: NaN:NaN

Tempo,RPM,Latitude,Longitude,Velocidade GPS,Velocidade Dianteira,Velocidade Traseira,Temperatura CVT
120201, 2440.0, NaN, NaN, NaN, 11.0, 14.0, 0.0
120346, 2246.0, NaN, NaN, NaN, 11.0, 14.0, 0.0
120408, 2246.0, NaN, NaN, NaN, 11.0, 5.0, 0.0
120489, 2396.0, NaN, NaN, NaN, 11.0, 5.0, 0.0
120690, 2547.0, NaN, NaN, NaN, 11.0, 5.0, 0.0
120851, 2608.0, NaN, NaN, NaN, 11.0, 5.0, 0.0
120913, 2608.0, NaN, NaN, NaN, 6.0, 5.0, 0.0
120976, 2608.0, NaN, NaN, NaN, 6.0, 5.0, 0.0
121041, 2501.0, NaN, NaN, NaN, 6.0, 5.0, 0.0
121187, 2168.0, NaN, NaN, NaN, 6.0, 5.0, 0.0
121249, 2168.0, NaN, NaN, NaN, 6.0, 5.0, 0.0
121312, 2168.0, NaN, NaN, NaN, 6.0, 5.0, 0.0
121373, 2168.0, NaN, NaN, NaN, 6.0, 5.0, 0.0
121454, 1913.0, NaN, NaN, NaN, 6.0, 5.0, 0.0
121654, 1913.0, NaN, NaN, NaN, 6.0, 5.0, 0.0
121827, 1714.0, NaN, NaN, NaN, 6.0, 7.0, 0.0
121889, 1714.0, NaN, NaN, NaN, 6.0, 7.0, 0.0
121952, 1578.0, NaN, NaN, NaN, 5.0, 7.0, 0.0
122014, 1578.0, NaN, NaN, NaN, 5.0, 7.0, 0.0
122075, 1578.0, NaN, NaN, NaN, 5.0, 7.0, 0.0
122140, 1578.0, NaN, NaN, NaN, 5.0, 7.0, 0.0
122280, 1500.0, NaN, NaN, NaN, 5.0, 7.0, 0.0
122346, 1500.0, NaN, NaN, NaN, 5.0, 7.0, 0.0
122408, 1500.0, NaN, NaN, NaN, 5.0, 7.0, 0.0
122505, 1500.0, NaN, NaN, NaN, 5.0, 7.0, 0.0
122704, 1473.0, NaN, NaN, NaN, 5.0, 7.0, 0.0
122839, 1527.0, NaN, NaN, NaN, 5.0, 7.0, 0.0
122900, 1527.0, NaN, NaN, NaN, 5.0, 7.0, 0.0
122961, 1527.0, NaN, NaN, NaN, 5.0, 7.0, 0.0
123027, 1527.0, NaN, NaN, NaN, 5.0, 7.0, 0.0
123089, 1527.0, NaN, NaN, NaN, 5.0, 7.0, 0.0
123155, 1500.0, NaN, NaN, NaN, 5.0, 7.0, 0.0
123297, 1500.0, NaN, NaN, NaN, 5.0, 7.0, 0.0
123359, 1500.0, NaN, NaN, NaN, 5.0, 7.0, 0.0
123426, 1500.0, NaN, NaN, NaN, 5.0, 7.0, 0.0
123601, 1474.0, NaN, NaN, NaN, 5.0, 7.0, 0.0
123800, 1474.0, NaN, NaN, NaN, 5.0, 7.0, 0.0
123864, 1356.0, NaN, NaN, NaN, 5.0, 7.0, 0.0
123926, 1356.0, NaN, NaN, NaN, 5.0, 7.0, 0.0
123988, 1356.0, NaN, NaN, NaN, 5.0, 0.0, 0.0
124051, 1865.0, NaN, NaN, NaN, 5.0, 0.0, 0.0
124113, 1865.0, NaN, NaN, NaN, 5.0, 0.0, 0.0
124183, 1865.0, NaN, NaN, NaN, 5.0, 0.0, 0.0
124325, 2144.0, NaN, NaN, NaN, 0.0, 0.0, 0.0
124387, 2144.0, NaN, NaN, NaN, 0.0, 0.0, 0.0
124470, 2144.0, NaN, NaN, NaN, 0.0, 0.0, 0.0
124675, 1551.0, NaN, NaN, NaN, 0.0, 0.0, 0.0
124840, 1551.0, NaN, NaN, NaN, 0.0, 0.0, 0.0
124902, 1736.0, NaN, NaN, NaN, 0.0, 0.0, 0.0
124964, 1736.0, NaN, NaN, NaN, 0.0, 0.0, 0.0
125027, 1736.0, NaN, NaN, NaN, 0.0, 0.0, 0.0
125089, 2256.0, NaN, NaN, NaN, 0.0, 1.0, 0.0
125152, 2256.0, NaN, NaN, NaN, 0.0, 1.0, 0.0
125217, 2256.0, NaN, NaN, NaN, 0.0, 1.0, 0.0
125357, 1926.0, NaN, NaN, NaN, 0.0, 1.0, 0.0
125418, 1926.0, NaN, NaN, NaN, 0.0, 1.0, 0.0
125561, 1926.0, NaN, NaN, NaN, 0.0, 1.0, 0.0
125767, 1500.0, NaN, NaN, NaN, 0.0, 1.0, 0.0
125848, 1500.0, NaN, NaN, NaN, 0.0, 1.0, 0.0
125911, 1500.0, NaN, NaN, NaN, 0.0, 1.0, 0.0
126061, 1500.0, NaN, NaN, NaN, 0.0, 1.0, 0.0
126124, 1500.0, NaN, NaN, NaN, 0.0, 1.0, 0.0
126186, 1500.0, NaN, NaN, NaN, 0.0, 1.0, 0.0
126248, 1500.0, NaN, NaN, NaN, 0.0, 1.0, 0.0
126314, 1549.0, NaN, NaN, NaN, 0.0, 1.0, 0.0
126488, 1549.0, NaN, NaN, NaN, 0.0, 1.0, 0.0
126688, 1557.0, NaN, NaN, NaN, 0.0, 1.0, 0.0
126842, 2207.0, NaN, NaN, NaN, 0.0, 1.0, 0.0
126909, 2207.0, NaN, NaN, NaN, 0.0, 1.0, 0.0
126971, 2207.0, NaN, NaN, NaN, 0.0, 1.0, 0.0
127034, 2222.0, NaN, NaN, NaN, 0.0, 1.0, 0.0
127096, 2222.0, NaN, NaN, NaN, 1.0, 1.0, 0.0
127159, 2222.0, NaN, NaN, NaN, 1.0, 1.0, 0.0
127221, 2264.0, NaN, NaN, NaN, 1.0, 1.0, 0.0
127284, 2264.0, NaN, NaN, NaN, 1.0, 1.0, 0.0
127347, 2264.0, NaN, NaN, NaN, 1.0, 1.0, 0.0
127559, 1978.0, NaN, NaN, NaN, 1.0, 1.0, 0.0
127758, 1490.0, NaN, NaN, NaN, 1.0, 1.0, 0.0
127836, 1490.0, NaN, NaN, NaN, 1.0, 1.0, 0.0
127897, 1490.0, NaN, NaN, NaN, 1.0, 1.0, 0.0
127960, 1490.0, NaN, NaN, NaN, 1.0, 1.0, 0.0
128026, 1489.0, NaN, NaN, NaN, 1.0, 1.0, 0.0
128088, 1489.0, NaN, NaN, NaN, 1.0, 1.0, 0.0
128150, 1489.0, NaN, NaN, NaN, 1.0, 1.0, 0.0
128212, 1489.0, NaN, NaN, NaN, 1.0, 1.0, 0.0
128275, 1489.0, NaN, NaN, NaN, 1.0, 1.0, 0.0
128342, 1448.0, NaN, NaN, NaN, 1.0, 1.0, 0.0
128553, 1448.0, NaN, NaN, NaN, 1.0, 1.0, 0.0
128752, 2197.0, NaN, NaN, NaN, 1.0, 1.0, 0.0
128838, 1812.0, NaN, NaN, NaN, 1.0, 1.0, 0.0
128900, 1812.0, NaN, NaN, NaN, 1.0, 1.0, 0.0
128964, 1812.0, NaN, NaN, NaN, 1.0, 1.0, 0.0
129026, 1812.0, NaN, NaN, NaN, 1.0, 1.0, 0.0
129088, 1812.0, NaN, NaN, NaN, 1.0, 1.0, 0.0
129153, 1500.0, NaN, NaN, NaN, 1.0, 1.0, 0.0
129214, 1500.0, NaN, NaN, NaN, 1.0, 1.0, 0.0
129276, 1500.0, NaN, NaN, NaN, 1.0, 1.0, 0.0
129339, 1500.0, NaN, NaN, NaN, 1.0, 0.0, 0.0
129403, 1500.0, NaN, NaN, NaN, 1.0, 0.0, 0.0
129617, 1500.0, NaN, NaN, NaN, 1.0, 0.0, 0.0
129789, 1538.0, NaN, NaN, NaN, 1.0, 0.0, 0.0
