Data: 20/10/2023
Hora: 15:25

Tempo,RPM,Latitude,Longitude,Velocidade GPS,Velocidade Dianteira,Velocidade Traseira,Temperatura CVT
21676, 0.0, -21.1062430000, -44.2455330000, 3.0, 0.0, 0.0, 0.0
21821, 0.0, -21.1062430000, -44.2455330000, 3.0, 0.0, 0.0, 0.0
21884, 0.0, -21.1062430000, -44.2455330000, 3.0, 0.0, 0.0, 0.0
21946, 0.0, -21.1062430000, -44.2455330000, 3.0, 0.0, 0.0, 0.0
22007, 0.0, -21.1062430000, -44.2455330000, 3.0, 0.0, 0.0, 0.0
22095, 0.0, -21.1062430000, -44.2455330000, 3.0, 0.0, 0.0, 0.0
22331, 0.0, -21.1062280000, -44.2455670000, 0.0, 0.0, 0.0, 0.0
22519, 0.0, -21.1062280000, -44.2455670000, 0.0, 0.0, 0.0, 0.0
22582, 0.0, -21.1062280000, -44.2455670000, 0.0, 0.0, 0.0, 0.0
22650, 0.0, -21.1062280000, -44.2455670000, 0.0, 0.0, 0.0, 0.0
22713, 0.0, -21.1062280000, -44.2455670000, 0.0, 0.0, 0.0, 0.0
22774, 0.0, -21.1062280000, -44.2455670000, 0.0, 0.0, 0.0, 0.0
22836, 0.0, -21.1062280000, -44.2455670000, 0.0, 0.0, 0.0, 0.0
22897, 0.0, -21.1062280000, -44.2455670000, 0.0, 0.0, 0.0, 0.0
22962, 0.0, -21.1062280000, -44.2455670000, 0.0, 0.0, 0.0, 0.0
23176, 0.0, -21.1062280000, -44.2455710000, 1.0, 0.0, 0.0, 0.0
23384, 0.0, -21.1062280000, -44.2455710000, 1.0, 0.0, 0.0, 0.0
23533, 0.0, -21.1062280000, -44.2455710000, 1.0, 0.0, 0.0, 0.0
23597, 0.0, -21.1062280000, -44.2455710000, 1.0, 0.0, 0.0, 0.0
23658, 0.0, -21.1062280000, -44.2455710000, 1.0, 0.0, 0.0, 0.0
23719, 0.0, -21.1062280000, -44.2455710000, 1.0, 0.0, 0.0, 0.0
23783, 0.0, -21.1062280000, -44.2455710000, 1.0, 0.0, 0.0, 0.0
23854, 0.0, -21.1062280000, -44.2455710000, 1.0, 0.0, 0.0, 0.0
23990, 0.0, -21.1062280000, -44.2455710000, 1.0, 0.0, 0.0, 0.0
24079, 0.0, -21.1062280000, -44.2455710000, 1.0, 0.0, 0.0, 0.0
24280, 0.0, -21.1062280000, -44.2455710000, 1.0, 0.0, 0.0, 0.0
24473, 0.0, -21.1062280000, -44.2455710000, 1.0, 0.0, 0.0, 0.0
24541, 0.0, -21.1062280000, -44.2455710000, 1.0, 0.0, 0.0, 0.0
24607, 0.0, -21.1062280000, -44.2455710000, 1.0, 0.0, 0.0, 0.0
24669, 0.0, -21.1062280000, -44.2455710000, 1.0, 0.0, 0.0, 0.0
24739, 0.0, -21.1062280000, -44.2455710000, 1.0, 0.0, 0.0, 0.0
24879, 0.0, -21.1062280000, -44.2455710000, 1.0, 0.0, 0.0, 0.0
24945, 0.0, -21.1062280000, -44.2455710000, 1.0, 0.0, 0.0, 0.0
25007, 0.0, -21.1062280000, -44.2455710000, 1.0, 0.0, 0.0, 0.0
25103, 0.0, -21.1062280000, -44.2455710000, 1.0, 0.0, 0.0, 0.0
25302, 0.0, -21.1062240000, -44.2455750000, 2.0, 0.0, 0.0, 0.0
25480, 0.0, -21.1062240000, -44.2455750000, 2.0, 0.0, 0.0, 0.0
25541, 0.0, -21.1062240000, -44.2455750000, 2.0, 0.0, 0.0, 0.0
25605, 0.0, -21.1062240000, -44.2455750000, 2.0, 0.0, 0.0, 0.0
25744, 0.0, -21.1062240000, -44.2455750000, 2.0, 0.0, 0.0, 0.0
25805, 0.0, -21.1062240000, -44.2455750000, 2.0, 0.0, 0.0, 0.0
25867, 0.0, -21.1062240000, -44.2455750000, 2.0, 0.0, 0.0, 0.0
25928, 0.0, -21.1062240000, -44.2455750000, 2.0, 0.0, 0.0, 0.0
25991, 0.0, -21.1062240000, -44.2455750000, 2.0, 0.0, 0.0, 0.0
26081, 0.0, -21.1062240000, -44.2455750000, 2.0, 0.0, 0.0, 0.0
26281, 0.0, -21.1062240000, -44.2455750000, 2.0, 0.0, 0.0, 0.0
26484, 0.0, -21.1062240000, -44.2455750000, 2.0, 0.0, 0.0, 0.0
26624, 0.0, -21.1062240000, -44.2455750000, 2.0, 0.0, 0.0, 0.0
26685, 0.0, -21.1062240000, -44.2455750000, 2.0, 0.0, 0.0, 0.0
26746, 0.0, -21.1062240000, -44.2455750000, 2.0, 0.0, 0.0, 0.0
26810, 0.0, -21.1062240000, -44.2455750000, 2.0, 0.0, 0.0, 0.0
26871, 0.0, -21.1062240000, -44.2455750000, 2.0, 0.0, 0.0, 0.0
26933, 0.0, -21.1062240000, -44.2455750000, 2.0, 0.0, 0.0, 0.0
26995, 0.0, -21.1062240000, -44.2455750000, 2.0, 0.0, 0.0, 0.0
27084, 0.0, -21.1062240000, -44.2455750000, 2.0, 0.0, 0.0, 0.0
27347, 0.0, -21.1062240000, -44.2455750000, 2.0, 0.0, 0.0, 0.0
27523, 0.0, -21.1062240000, -44.2455750000, 2.0, 0.0, 0.0, 0.0
27584, 0.0, -21.1062240000, -44.2455750000, 2.0, 0.0, 0.0, 0.0
27645, 0.0, -21.1062240000, -44.2455750000, 2.0, 0.0, 0.0, 0.0
27707, 0.0, -21.1062240000, -44.2455750000, 2.0, 0.0, 0.0, 0.0
27860, 0.0, -21.1062240000, -44.2455750000, 2.0, 0.0, 0.0, 0.0
27922, 0.0, -21.1062240000, -44.2455750000, 2.0, 0.0, 0.0, 0.0
27987, 0.0, -21.1062240000, -44.2455750000, 2.0, 0.0, 0.0, 0.0
28204, 0.0, -21.1062240000, -44.2455750000, 2.0, 0.0, 0.0, 0.0
28404, 0.0, -21.1062240000, -44.2455750000, 2.0, 0.0, 0.0, 0.0
28536, 0.0, -21.1062240000, -44.2455750000, 2.0, 0.0, 0.0, 0.0
28602, 0.0, -21.1062240000, -44.2455750000, 2.0, 0.0, 0.0, 0.0
28663, 0.0, -21.1062240000, -44.2455750000, 2.0, 0.0, 0.0, 0.0
28725, 0.0, -21.1062240000, -44.2455750000, 2.0, 0.0, 0.0, 0.0
