Data: 03/03/2023
Hora: 09:48

Tempo,RPM,Latitude,Longitude,Velocidade GPS,Velocidade Dianteira,Velocidade Traseira,Temperatura CVT
61808,   0.0, -23.162464, -45.795609,   2.0,   0.0,   0.0,   0.0
61952,   0.0, -23.162464, -45.795609,   2.0,   0.0,   0.0,   0.0
62013,   0.0, -23.162464, -45.795609,   2.0,   0.0,   0.0,   0.0
62075,   0.0, -23.162464, -45.795609,   2.0,   0.0,   0.0,   0.0
62138,   0.0, -23.162464, -45.795609,   2.0,   0.0,   0.0,   0.0
62199,   0.0, -23.162464, -45.795609,   2.0,   0.0,   0.0,   0.0
62265,   0.0, -23.162464, -45.795609,   2.0,   0.0,   0.0,   0.0
62423,   0.0, -23.162464, -45.795609,   2.0,   0.0,   0.0,   0.0
62626,   0.0, -23.162468, -45.795616,   0.0,   0.0,   0.0,   0.0
62808,   0.0, -23.162468, -45.795616,   0.0,   0.0,   0.0,   0.0
62870,   0.0, -23.162468, -45.795616,   0.0,   0.0,   0.0,   0.0
62931,   0.0, -23.162468, -45.795616,   0.0,   0.0,   0.0,   0.0
62995,   0.0, -23.162468, -45.795616,   0.0,   0.0,   0.0,   0.0
63056,   0.0, -23.162468, -45.795616,   0.0,   0.0,   0.0,   0.0
63121,   0.0, -23.162468, -45.795616,   0.0,   0.0,   0.0,   0.0
63259,   0.0, -23.162468, -45.795616,   0.0,   0.0,   0.0,   0.0
63320,   0.0, -23.162468, -45.795616,   0.0,   0.0,   0.0,   0.0
63412,   0.0, -23.162468, -45.795616,   0.0,   0.0,   0.0,   0.0
63618,   0.0, -23.162457, -45.795670,   0.0,   0.0,   0.0,   0.0
63793,   0.0, -23.162457, -45.795670,   0.0,   0.0,   0.0,   0.0
63855,   0.0, -23.162457, -45.795670,   0.0,   0.0,   0.0,   0.0
63916,   0.0, -23.162457, -45.795670,   0.0,   0.0,   0.0,   0.0
63986,   0.0, -23.162457, -45.795670,   0.0,   0.0,   0.0,   0.0
64123,   0.0, -23.162457, -45.795670,   0.0,   0.0,   0.0,   0.0
64185,   0.0, -23.162457, -45.795670,   0.0,   0.0,   0.0,   0.0
64246,   0.0, -23.162457, -45.795670,   0.0,   0.0,   0.0,   0.0
64309,   0.0, -23.162457, -45.795670,   0.0,   0.0,   0.0,   0.0
64403,   0.0, -23.162457, -45.795670,   0.0,   0.0,   0.0,   0.0
64614,   0.0, -23.162439, -45.795708,   0.0,   0.0,   0.0,   0.0
64797,   0.0, -23.162439, -45.795708,   0.0,   0.0,   0.0,   0.0
