Data: NaN/NaN/NaN
Hora: NaN:NaN

Tempo,RPM,Latitude,Longitude,Velocidade GPS,Velocidade Dianteira,Velocidade Traseira,Temperatura CVT
120285,   0.0, NaN, NaN, NaN,   0.0,   0.0,   0.0
120430,   0.0, NaN, NaN, NaN,   0.0,   0.0,   0.0
120493,   0.0, NaN, NaN, NaN,   0.0,   0.0,   0.0
120555,   0.0, NaN, NaN, NaN,   0.0,   0.0,   0.0
120616,   0.0, NaN, NaN, NaN,   0.0,   0.0,   0.0
120678,   0.0, NaN, NaN, NaN,   0.0,   0.0,   0.0
120740,   0.0, NaN, NaN, NaN,   0.0,   0.0,   0.0
120801,   0.0, NaN, NaN, NaN,   0.0,   0.0,   0.0
120865,   0.0, NaN, NaN, NaN,   0.0,   0.0,   0.0
121100,   0.0, NaN, NaN, NaN,   0.0,   0.0,   0.0
121189,   0.0, NaN, NaN, NaN,   0.0,   0.0,   0.0
121251,   0.0, NaN, NaN, NaN,   0.0,   0.0,   0.0
121314,   0.0, NaN, NaN, NaN,   0.0,   0.0,   0.0
121376,   0.0, NaN, NaN, NaN,   0.0,   0.0,   0.0
121439,   0.0, NaN, NaN, NaN,   0.0,   0.0,   0.0
121500,   0.0, NaN, NaN, NaN,   0.0,   0.0,   0.0
121562,   0.0, NaN, NaN, NaN,   0.0,   0.0,   0.0
121624,   0.0, NaN, NaN, NaN,   0.0,   0.0,   0.0
121687,   0.0, NaN, NaN, NaN,   0.0,   0.0,   0.0
121827,   0.0, NaN, NaN, NaN,   0.0,   0.0,   0.0
121889,   0.0, NaN, NaN, NaN,   0.0,   0.0,   0.0
121951,   0.0, NaN, NaN, NaN,   0.0,   0.0,   0.0
122137,   0.0, NaN, NaN, NaN,   0.0,   0.0,   0.0
122199,   0.0, NaN, NaN, NaN,   0.0,   0.0,   0.0
122261,   0.0, NaN, NaN, NaN,   0.0,   0.0,   0.0
122323,   0.0, NaN, NaN, NaN,   0.0,   0.0,   0.0
122386,   0.0, NaN, NaN, NaN,   0.0,   0.0,   0.0
122448,   0.0, NaN, NaN, NaN,   0.0,   0.0,   0.0
122514,   0.0, NaN, NaN, NaN,   0.0,   0.0,   0.0
122659,   0.0, NaN, NaN, NaN,   0.0,   0.0,   0.0
122721,   0.0, NaN, NaN, NaN,   0.0,   0.0,   0.0
122782,   0.0, NaN, NaN, NaN,   0.0,   0.0,   0.0
122844,   0.0, NaN, NaN, NaN,   0.0,   0.0,   0.0
122905,   0.0, NaN, NaN, NaN,   0.0,   0.0,   0.0
122999,   0.0, NaN, NaN, NaN,   0.0,   0.0,   0.0
123170,   0.0, NaN, NaN, NaN,   0.0,   0.0,   0.0
123232,   0.0, NaN, NaN, NaN,   0.0,   0.0,   0.0
123294,   0.0, NaN, NaN, NaN,   0.0,   0.0,   0.0
123364,   0.0, NaN, NaN, NaN,   0.0,   0.0,   0.0
123506,   0.0, NaN, NaN, NaN,   0.0,   0.0,   0.0
